Paper Title,DOI,Dataset Name,Canonical Dataset,Sensor Type,Method Name,Method ID,Uncertainty Type (U1/U2/U3),Description,Source Group,Extraction Source
Monolingual and Bilingual Reading Processes in Russian: An Exploratory Scanpath Analysis,10.1002/rrq.414,Russian reading eye-tracking scanpaths,Russian Reading Eye-tracking,Eye-tracking,Exploratory scanpath analysis of Russian reading,M_63903d40cf29,U1,"Reading-process categories such as fluent, intermediate, and beginner depend on how scanpath behavior is conceptualized.",21,inferred from bibliography abstract
Monolingual and Bilingual Reading Processes in Russian: An Exploratory Scanpath Analysis,10.1002/rrq.414,Russian reading eye-tracking scanpaths,Russian Reading Eye-tracking,Eye-tracking,Exploratory scanpath analysis of Russian reading,M_63903d40cf29,U2,Calibration drift and fixation/saccade detection choices can alter measured scanpaths.,21,inferred from bibliography abstract
Monolingual and Bilingual Reading Processes in Russian: An Exploratory Scanpath Analysis,10.1002/rrq.414,Russian reading eye-tracking scanpaths,Russian Reading Eye-tracking,Eye-tracking,Exploratory scanpath analysis of Russian reading,M_63903d40cf29,U3,Interpretations depend on qualitative scanpath classification and group-comparison assumptions.,21,inferred from bibliography abstract
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,NIST 2008 SRE,NIST 2008 SRE,Audio / Speech,4D Concatenation,M_7370a3595e96,U1,Severity level reported in the extraction sheet: Medium.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,NIST 2008 SRE,NIST 2008 SRE,Audio / Speech,4D Concatenation,M_7370a3595e96,U2,Severity level reported in the extraction sheet: Medium.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,NIST 2008 SRE,NIST 2008 SRE,Audio / Speech,4D Concatenation,M_7370a3595e96,U3,Severity level reported in the extraction sheet: Medium-High.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,NIST 2008 SRE,NIST 2008 SRE,Audio / Speech,Concatenation,M_2b4810132c1c,U1,Severity level reported in the extraction sheet: Medium.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,NIST 2008 SRE,NIST 2008 SRE,Audio / Speech,Concatenation,M_2b4810132c1c,U2,Severity level reported in the extraction sheet: Medium.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,NIST 2008 SRE,NIST 2008 SRE,Audio / Speech,Concatenation,M_2b4810132c1c,U3,Severity level reported in the extraction sheet: Medium-High.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,NIST 2008 SRE,NIST 2008 SRE,Audio / Speech,Cumulative,M_3f6b38cb60d1,U1,Severity level reported in the extraction sheet: Medium.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,NIST 2008 SRE,NIST 2008 SRE,Audio / Speech,Cumulative,M_3f6b38cb60d1,U2,Severity level reported in the extraction sheet: Medium.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,NIST 2008 SRE,NIST 2008 SRE,Audio / Speech,Cumulative,M_3f6b38cb60d1,U3,Severity level reported in the extraction sheet: Medium-High.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,NIST 2008 SRE,NIST 2008 SRE,Audio / Speech,Interleaving,M_4a653ff8d237,U1,Severity level reported in the extraction sheet: Medium.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,NIST 2008 SRE,NIST 2008 SRE,Audio / Speech,Interleaving,M_4a653ff8d237,U2,Severity level reported in the extraction sheet: Medium.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,NIST 2008 SRE,NIST 2008 SRE,Audio / Speech,Interleaving,M_4a653ff8d237,U3,Severity level reported in the extraction sheet: Medium-High.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,NIST 2008 SRE,NIST 2008 SRE,Audio / Speech,Max,M_eb4c69c5164f,U1,Severity level reported in the extraction sheet: Medium.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,NIST 2008 SRE,NIST 2008 SRE,Audio / Speech,Max,M_eb4c69c5164f,U2,Severity level reported in the extraction sheet: Medium.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,NIST 2008 SRE,NIST 2008 SRE,Audio / Speech,Max,M_eb4c69c5164f,U3,Severity level reported in the extraction sheet: Medium-High.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,NIST 2008 SRE,NIST 2008 SRE,Audio / Speech,Mean,M_a4e6cf2e60a1,U1,Severity level reported in the extraction sheet: Medium.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,NIST 2008 SRE,NIST 2008 SRE,Audio / Speech,Mean,M_a4e6cf2e60a1,U2,Severity level reported in the extraction sheet: Medium.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,NIST 2008 SRE,NIST 2008 SRE,Audio / Speech,Mean,M_a4e6cf2e60a1,U3,Severity level reported in the extraction sheet: Medium-High.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,NIST 2008 SRE,NIST 2008 SRE,Audio / Speech,Weighted Sum,M_61b45f77280e,U1,Severity level reported in the extraction sheet: Medium.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,NIST 2008 SRE,NIST 2008 SRE,Audio / Speech,Weighted Sum,M_61b45f77280e,U2,Severity level reported in the extraction sheet: Medium.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,NIST 2008 SRE,NIST 2008 SRE,Audio / Speech,Weighted Sum,M_61b45f77280e,U3,Severity level reported in the extraction sheet: Medium-High.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,SITW 2016,SITW 2016,Audio / Speech,4D Concatenation,M_7370a3595e96,U1,Severity level reported in the extraction sheet: Medium.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,SITW 2016,SITW 2016,Audio / Speech,4D Concatenation,M_7370a3595e96,U2,Severity level reported in the extraction sheet: Medium.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,SITW 2016,SITW 2016,Audio / Speech,4D Concatenation,M_7370a3595e96,U3,Severity level reported in the extraction sheet: Medium-High.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,SITW 2016,SITW 2016,Audio / Speech,Concatenation,M_2b4810132c1c,U1,Severity level reported in the extraction sheet: Medium.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,SITW 2016,SITW 2016,Audio / Speech,Concatenation,M_2b4810132c1c,U2,Severity level reported in the extraction sheet: Medium.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,SITW 2016,SITW 2016,Audio / Speech,Concatenation,M_2b4810132c1c,U3,Severity level reported in the extraction sheet: Medium-High.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,SITW 2016,SITW 2016,Audio / Speech,Cumulative,M_3f6b38cb60d1,U1,Severity level reported in the extraction sheet: Medium.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,SITW 2016,SITW 2016,Audio / Speech,Cumulative,M_3f6b38cb60d1,U2,Severity level reported in the extraction sheet: Medium.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,SITW 2016,SITW 2016,Audio / Speech,Cumulative,M_3f6b38cb60d1,U3,Severity level reported in the extraction sheet: Medium-High.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,SITW 2016,SITW 2016,Audio / Speech,Interleaving,M_4a653ff8d237,U1,Severity level reported in the extraction sheet: Medium.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,SITW 2016,SITW 2016,Audio / Speech,Interleaving,M_4a653ff8d237,U2,Severity level reported in the extraction sheet: Medium.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,SITW 2016,SITW 2016,Audio / Speech,Interleaving,M_4a653ff8d237,U3,Severity level reported in the extraction sheet: Medium-High.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,SITW 2016,SITW 2016,Audio / Speech,Max,M_eb4c69c5164f,U1,Severity level reported in the extraction sheet: Medium.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,SITW 2016,SITW 2016,Audio / Speech,Max,M_eb4c69c5164f,U2,Severity level reported in the extraction sheet: Medium.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,SITW 2016,SITW 2016,Audio / Speech,Max,M_eb4c69c5164f,U3,Severity level reported in the extraction sheet: Medium-High.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,SITW 2016,SITW 2016,Audio / Speech,Mean,M_a4e6cf2e60a1,U1,Severity level reported in the extraction sheet: Medium.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,SITW 2016,SITW 2016,Audio / Speech,Mean,M_a4e6cf2e60a1,U2,Severity level reported in the extraction sheet: Medium.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,SITW 2016,SITW 2016,Audio / Speech,Mean,M_a4e6cf2e60a1,U3,Severity level reported in the extraction sheet: Medium-High.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,SITW 2016,SITW 2016,Audio / Speech,Weighted Sum,M_61b45f77280e,U1,Severity level reported in the extraction sheet: Medium.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,SITW 2016,SITW 2016,Audio / Speech,Weighted Sum,M_61b45f77280e,U2,Severity level reported in the extraction sheet: Medium.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,SITW 2016,SITW 2016,Audio / Speech,Weighted Sum,M_61b45f77280e,U3,Severity level reported in the extraction sheet: Medium-High.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,TIMIT,TIMIT,Audio / Speech,4D Concatenation,M_7370a3595e96,U1,Severity level reported in the extraction sheet: Medium.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,TIMIT,TIMIT,Audio / Speech,4D Concatenation,M_7370a3595e96,U2,Severity level reported in the extraction sheet: Medium.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,TIMIT,TIMIT,Audio / Speech,4D Concatenation,M_7370a3595e96,U3,Severity level reported in the extraction sheet: Medium-High.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,TIMIT,TIMIT,Audio / Speech,Concatenation,M_2b4810132c1c,U1,Severity level reported in the extraction sheet: Medium.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,TIMIT,TIMIT,Audio / Speech,Concatenation,M_2b4810132c1c,U2,Severity level reported in the extraction sheet: Medium.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,TIMIT,TIMIT,Audio / Speech,Concatenation,M_2b4810132c1c,U3,Severity level reported in the extraction sheet: Medium-High.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,TIMIT,TIMIT,Audio / Speech,Cumulative,M_3f6b38cb60d1,U1,Severity level reported in the extraction sheet: Medium.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,TIMIT,TIMIT,Audio / Speech,Cumulative,M_3f6b38cb60d1,U2,Severity level reported in the extraction sheet: Medium.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,TIMIT,TIMIT,Audio / Speech,Cumulative,M_3f6b38cb60d1,U3,Severity level reported in the extraction sheet: Medium-High.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,TIMIT,TIMIT,Audio / Speech,Interleaving,M_4a653ff8d237,U1,Severity level reported in the extraction sheet: Medium.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,TIMIT,TIMIT,Audio / Speech,Interleaving,M_4a653ff8d237,U2,Severity level reported in the extraction sheet: Medium.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,TIMIT,TIMIT,Audio / Speech,Interleaving,M_4a653ff8d237,U3,Severity level reported in the extraction sheet: Medium-High.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,TIMIT,TIMIT,Audio / Speech,Max,M_eb4c69c5164f,U1,Severity level reported in the extraction sheet: Medium.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,TIMIT,TIMIT,Audio / Speech,Max,M_eb4c69c5164f,U2,Severity level reported in the extraction sheet: Medium.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,TIMIT,TIMIT,Audio / Speech,Max,M_eb4c69c5164f,U3,Severity level reported in the extraction sheet: Medium-High.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,TIMIT,TIMIT,Audio / Speech,Mean,M_a4e6cf2e60a1,U1,Severity level reported in the extraction sheet: Medium.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,TIMIT,TIMIT,Audio / Speech,Mean,M_a4e6cf2e60a1,U2,Severity level reported in the extraction sheet: Medium.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,TIMIT,TIMIT,Audio / Speech,Mean,M_a4e6cf2e60a1,U3,Severity level reported in the extraction sheet: Medium-High.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,TIMIT,TIMIT,Audio / Speech,Weighted Sum,M_61b45f77280e,U1,Severity level reported in the extraction sheet: Medium.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,TIMIT,TIMIT,Audio / Speech,Weighted Sum,M_61b45f77280e,U2,Severity level reported in the extraction sheet: Medium.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,TIMIT,TIMIT,Audio / Speech,Weighted Sum,M_61b45f77280e,U3,Severity level reported in the extraction sheet: Medium-High.,18,structured spreadsheet
FARMIT: continuous assessment of crop quality using machine learning and deep learning techniques for IoT-based smart farming,10.1007/s10586-021-03489-9,"Pest, defect, and task logs",Agronomic Logs,Agricultural / Sensor,FARMIT multimodal crop-quality assessment architecture,M_4b06671398e0,U1,"Crop quality is operationalized through selected QA/tasting indicators and farm-specific practices, so the target concept may not transfer cleanly to other crops or sites.",33,structured spreadsheet
FARMIT: continuous assessment of crop quality using machine learning and deep learning techniques for IoT-based smart farming,10.1007/s10586-021-03489-9,"Pest, defect, and task logs",Agronomic Logs,Agricultural / Sensor,FARMIT multimodal crop-quality assessment architecture,M_4b06671398e0,U2,"Manual entry errors, categorical inconsistency, and missing or delayed log entries.",33,structured spreadsheet
FARMIT: continuous assessment of crop quality using machine learning and deep learning techniques for IoT-based smart farming,10.1007/s10586-021-03489-9,"Pest, defect, and task logs",Agronomic Logs,Agricultural / Sensor,FARMIT multimodal crop-quality assessment architecture,M_4b06671398e0,U3,"Performance depends on feature engineering, week/year aggregation choices, model selection, and train/test assumptions.",33,structured spreadsheet
FARMIT: continuous assessment of crop quality using machine learning and deep learning techniques for IoT-based smart farming,10.1007/s10586-021-03489-9,QA tasting and crop-quality measurements,Crop Quality Measurements,Agricultural / Sensor,FARMIT multimodal crop-quality assessment architecture,M_4b06671398e0,U1,"Crop quality is operationalized through selected QA/tasting indicators and farm-specific practices, so the target concept may not transfer cleanly to other crops or sites.",33,structured spreadsheet
FARMIT: continuous assessment of crop quality using machine learning and deep learning techniques for IoT-based smart farming,10.1007/s10586-021-03489-9,QA tasting and crop-quality measurements,Crop Quality Measurements,Agricultural / Sensor,FARMIT multimodal crop-quality assessment architecture,M_4b06671398e0,U2,Manual assessment variability and instrument precision limits in QA/tasting measurements.,33,structured spreadsheet
FARMIT: continuous assessment of crop quality using machine learning and deep learning techniques for IoT-based smart farming,10.1007/s10586-021-03489-9,QA tasting and crop-quality measurements,Crop Quality Measurements,Agricultural / Sensor,FARMIT multimodal crop-quality assessment architecture,M_4b06671398e0,U3,"Performance depends on feature engineering, week/year aggregation choices, model selection, and train/test assumptions.",33,structured spreadsheet
FARMIT: continuous assessment of crop quality using machine learning and deep learning techniques for IoT-based smart farming,10.1007/s10586-021-03489-9,RGB camera images,Crop RGB Images,Agricultural / Sensor,FARMIT multimodal crop-quality assessment architecture,M_4b06671398e0,U1,"Crop quality is operationalized through selected QA/tasting indicators and farm-specific practices, so the target concept may not transfer cleanly to other crops or sites.",33,structured spreadsheet
FARMIT: continuous assessment of crop quality using machine learning and deep learning techniques for IoT-based smart farming,10.1007/s10586-021-03489-9,RGB camera images,Crop RGB Images,Agricultural / Sensor,FARMIT multimodal crop-quality assessment architecture,M_4b06671398e0,U2,"Lighting variation, occlusion, viewpoint change, and image-quality limitations.",33,structured spreadsheet
FARMIT: continuous assessment of crop quality using machine learning and deep learning techniques for IoT-based smart farming,10.1007/s10586-021-03489-9,RGB camera images,Crop RGB Images,Agricultural / Sensor,FARMIT multimodal crop-quality assessment architecture,M_4b06671398e0,U3,"Performance depends on feature engineering, week/year aggregation choices, model selection, and train/test assumptions.",33,structured spreadsheet
FARMIT: continuous assessment of crop quality using machine learning and deep learning techniques for IoT-based smart farming,10.1007/s10586-021-03489-9,Traditional greenhouse sensor data,Greenhouse Sensor Data,Agricultural / Sensor,FARMIT multimodal crop-quality assessment architecture,M_4b06671398e0,U1,"Crop quality is operationalized through selected QA/tasting indicators and farm-specific practices, so the target concept may not transfer cleanly to other crops or sites.",33,structured spreadsheet
FARMIT: continuous assessment of crop quality using machine learning and deep learning techniques for IoT-based smart farming,10.1007/s10586-021-03489-9,Traditional greenhouse sensor data,Greenhouse Sensor Data,Agricultural / Sensor,FARMIT multimodal crop-quality assessment architecture,M_4b06671398e0,U2,"Sensor calibration drift, intermittent missing values, and measurement noise in greenhouse instrumentation.",33,structured spreadsheet
FARMIT: continuous assessment of crop quality using machine learning and deep learning techniques for IoT-based smart farming,10.1007/s10586-021-03489-9,Traditional greenhouse sensor data,Greenhouse Sensor Data,Agricultural / Sensor,FARMIT multimodal crop-quality assessment architecture,M_4b06671398e0,U3,"Performance depends on feature engineering, week/year aggregation choices, model selection, and train/test assumptions.",33,structured spreadsheet
Optimized multimodal medical image fusion framework using multi-scale geometric and multi-resolution geometric analysis,10.1007/s11042-022-12260-0,MedPix multimodal medical image pairs,MedPix,Medical / Image,MCFO-optimized multimodal medical image fusion framework,M_1261ba2dd7d6,U1,What counts as the most clinically useful fused image depends on the diagnostic task and on how complementary modality information is conceptualized for each case.,33,structured spreadsheet
Optimized multimodal medical image fusion framework using multi-scale geometric and multi-resolution geometric analysis,10.1007/s11042-022-12260-0,MedPix multimodal medical image pairs,MedPix,Medical / Image,MCFO-optimized multimodal medical image fusion framework,M_1261ba2dd7d6,U2,"Modality-specific noise, spatial-resolution differences, and registration mismatch across paired images.",33,structured spreadsheet
Optimized multimodal medical image fusion framework using multi-scale geometric and multi-resolution geometric analysis,10.1007/s11042-022-12260-0,MedPix multimodal medical image pairs,MedPix,Medical / Image,MCFO-optimized multimodal medical image fusion framework,M_1261ba2dd7d6,U3,"Fusion quality depends on transform selection, MCFO parameter search, coefficient-fusion rules, and metric-driven optimization assumptions.",33,structured spreadsheet
