Paper Title,Dataset Name,Method Name,Uncertainty Type (U1/U2/U3),Description
Monolingual and Bilingual Reading Processes in Russian: An Exploratory Scanpath Analysis,Russian reading eye-tracking scanpaths,Exploratory scanpath analysis of Russian reading,U1,"Reading-process categories such as fluent, intermediate, and beginner depend on how scanpath behavior is conceptualized."
Monolingual and Bilingual Reading Processes in Russian: An Exploratory Scanpath Analysis,Russian reading eye-tracking scanpaths,Exploratory scanpath analysis of Russian reading,U2,Calibration drift and fixation/saccade detection choices can alter measured scanpaths.
Monolingual and Bilingual Reading Processes in Russian: An Exploratory Scanpath Analysis,Russian reading eye-tracking scanpaths,Exploratory scanpath analysis of Russian reading,U3,Interpretations depend on qualitative scanpath classification and group-comparison assumptions.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",NIST 2008 SRE,4D Concatenation,U1,Severity level reported in the extraction sheet: Medium.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",NIST 2008 SRE,4D Concatenation,U2,Severity level reported in the extraction sheet: Medium.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",NIST 2008 SRE,4D Concatenation,U3,Severity level reported in the extraction sheet: Medium-High.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",NIST 2008 SRE,Concatenation,U1,Severity level reported in the extraction sheet: Medium.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",NIST 2008 SRE,Concatenation,U2,Severity level reported in the extraction sheet: Medium.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",NIST 2008 SRE,Concatenation,U3,Severity level reported in the extraction sheet: Medium-High.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",NIST 2008 SRE,Cumulative,U1,Severity level reported in the extraction sheet: Medium.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",NIST 2008 SRE,Cumulative,U2,Severity level reported in the extraction sheet: Medium.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",NIST 2008 SRE,Cumulative,U3,Severity level reported in the extraction sheet: Medium-High.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",NIST 2008 SRE,Interleaving,U1,Severity level reported in the extraction sheet: Medium.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",NIST 2008 SRE,Interleaving,U2,Severity level reported in the extraction sheet: Medium.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",NIST 2008 SRE,Interleaving,U3,Severity level reported in the extraction sheet: Medium-High.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",NIST 2008 SRE,Max,U1,Severity level reported in the extraction sheet: Medium.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",NIST 2008 SRE,Max,U2,Severity level reported in the extraction sheet: Medium.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",NIST 2008 SRE,Max,U3,Severity level reported in the extraction sheet: Medium-High.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",NIST 2008 SRE,Mean,U1,Severity level reported in the extraction sheet: Medium.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",NIST 2008 SRE,Mean,U2,Severity level reported in the extraction sheet: Medium.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",NIST 2008 SRE,Mean,U3,Severity level reported in the extraction sheet: Medium-High.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",NIST 2008 SRE,Weighted Sum,U1,Severity level reported in the extraction sheet: Medium.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",NIST 2008 SRE,Weighted Sum,U2,Severity level reported in the extraction sheet: Medium.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",NIST 2008 SRE,Weighted Sum,U3,Severity level reported in the extraction sheet: Medium-High.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",SITW 2016,4D Concatenation,U1,Severity level reported in the extraction sheet: Medium.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",SITW 2016,4D Concatenation,U2,Severity level reported in the extraction sheet: Medium.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",SITW 2016,4D Concatenation,U3,Severity level reported in the extraction sheet: Medium-High.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",SITW 2016,Concatenation,U1,Severity level reported in the extraction sheet: Medium.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",SITW 2016,Concatenation,U2,Severity level reported in the extraction sheet: Medium.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",SITW 2016,Concatenation,U3,Severity level reported in the extraction sheet: Medium-High.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",SITW 2016,Cumulative,U1,Severity level reported in the extraction sheet: Medium.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",SITW 2016,Cumulative,U2,Severity level reported in the extraction sheet: Medium.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",SITW 2016,Cumulative,U3,Severity level reported in the extraction sheet: Medium-High.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",SITW 2016,Interleaving,U1,Severity level reported in the extraction sheet: Medium.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",SITW 2016,Interleaving,U2,Severity level reported in the extraction sheet: Medium.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",SITW 2016,Interleaving,U3,Severity level reported in the extraction sheet: Medium-High.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",SITW 2016,Max,U1,Severity level reported in the extraction sheet: Medium.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",SITW 2016,Max,U2,Severity level reported in the extraction sheet: Medium.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",SITW 2016,Max,U3,Severity level reported in the extraction sheet: Medium-High.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",SITW 2016,Mean,U1,Severity level reported in the extraction sheet: Medium.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",SITW 2016,Mean,U2,Severity level reported in the extraction sheet: Medium.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",SITW 2016,Mean,U3,Severity level reported in the extraction sheet: Medium-High.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",SITW 2016,Weighted Sum,U1,Severity level reported in the extraction sheet: Medium.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",SITW 2016,Weighted Sum,U2,Severity level reported in the extraction sheet: Medium.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",SITW 2016,Weighted Sum,U3,Severity level reported in the extraction sheet: Medium-High.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",TIMIT,4D Concatenation,U1,Severity level reported in the extraction sheet: Medium.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",TIMIT,4D Concatenation,U2,Severity level reported in the extraction sheet: Medium.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",TIMIT,4D Concatenation,U3,Severity level reported in the extraction sheet: Medium-High.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",TIMIT,Concatenation,U1,Severity level reported in the extraction sheet: Medium.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",TIMIT,Concatenation,U2,Severity level reported in the extraction sheet: Medium.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",TIMIT,Concatenation,U3,Severity level reported in the extraction sheet: Medium-High.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",TIMIT,Cumulative,U1,Severity level reported in the extraction sheet: Medium.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",TIMIT,Cumulative,U2,Severity level reported in the extraction sheet: Medium.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",TIMIT,Cumulative,U3,Severity level reported in the extraction sheet: Medium-High.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",TIMIT,Interleaving,U1,Severity level reported in the extraction sheet: Medium.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",TIMIT,Interleaving,U2,Severity level reported in the extraction sheet: Medium.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",TIMIT,Interleaving,U3,Severity level reported in the extraction sheet: Medium-High.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",TIMIT,Max,U1,Severity level reported in the extraction sheet: Medium.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",TIMIT,Max,U2,Severity level reported in the extraction sheet: Medium.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",TIMIT,Max,U3,Severity level reported in the extraction sheet: Medium-High.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",TIMIT,Mean,U1,Severity level reported in the extraction sheet: Medium.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",TIMIT,Mean,U2,Severity level reported in the extraction sheet: Medium.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",TIMIT,Mean,U3,Severity level reported in the extraction sheet: Medium-High.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",TIMIT,Weighted Sum,U1,Severity level reported in the extraction sheet: Medium.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",TIMIT,Weighted Sum,U2,Severity level reported in the extraction sheet: Medium.
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",TIMIT,Weighted Sum,U3,Severity level reported in the extraction sheet: Medium-High.
FARMIT: continuous assessment of crop quality using machine learning and deep learning techniques for IoT-based smart farming,"Pest, defect, and task logs",FARMIT multimodal crop-quality assessment architecture,U1,"Crop quality is operationalized through selected QA/tasting indicators and farm-specific practices, so the target concept may not transfer cleanly to other crops or sites."
FARMIT: continuous assessment of crop quality using machine learning and deep learning techniques for IoT-based smart farming,"Pest, defect, and task logs",FARMIT multimodal crop-quality assessment architecture,U2,"Manual entry errors, categorical inconsistency, and missing or delayed log entries."
FARMIT: continuous assessment of crop quality using machine learning and deep learning techniques for IoT-based smart farming,"Pest, defect, and task logs",FARMIT multimodal crop-quality assessment architecture,U3,"Performance depends on feature engineering, week/year aggregation choices, model selection, and train/test assumptions."
FARMIT: continuous assessment of crop quality using machine learning and deep learning techniques for IoT-based smart farming,QA tasting and crop-quality measurements,FARMIT multimodal crop-quality assessment architecture,U1,"Crop quality is operationalized through selected QA/tasting indicators and farm-specific practices, so the target concept may not transfer cleanly to other crops or sites."
FARMIT: continuous assessment of crop quality using machine learning and deep learning techniques for IoT-based smart farming,QA tasting and crop-quality measurements,FARMIT multimodal crop-quality assessment architecture,U2,Manual assessment variability and instrument precision limits in QA/tasting measurements.
FARMIT: continuous assessment of crop quality using machine learning and deep learning techniques for IoT-based smart farming,QA tasting and crop-quality measurements,FARMIT multimodal crop-quality assessment architecture,U3,"Performance depends on feature engineering, week/year aggregation choices, model selection, and train/test assumptions."
FARMIT: continuous assessment of crop quality using machine learning and deep learning techniques for IoT-based smart farming,RGB camera images,FARMIT multimodal crop-quality assessment architecture,U1,"Crop quality is operationalized through selected QA/tasting indicators and farm-specific practices, so the target concept may not transfer cleanly to other crops or sites."
FARMIT: continuous assessment of crop quality using machine learning and deep learning techniques for IoT-based smart farming,RGB camera images,FARMIT multimodal crop-quality assessment architecture,U2,"Lighting variation, occlusion, viewpoint change, and image-quality limitations."
FARMIT: continuous assessment of crop quality using machine learning and deep learning techniques for IoT-based smart farming,RGB camera images,FARMIT multimodal crop-quality assessment architecture,U3,"Performance depends on feature engineering, week/year aggregation choices, model selection, and train/test assumptions."
FARMIT: continuous assessment of crop quality using machine learning and deep learning techniques for IoT-based smart farming,Traditional greenhouse sensor data,FARMIT multimodal crop-quality assessment architecture,U1,"Crop quality is operationalized through selected QA/tasting indicators and farm-specific practices, so the target concept may not transfer cleanly to other crops or sites."
FARMIT: continuous assessment of crop quality using machine learning and deep learning techniques for IoT-based smart farming,Traditional greenhouse sensor data,FARMIT multimodal crop-quality assessment architecture,U2,"Sensor calibration drift, intermittent missing values, and measurement noise in greenhouse instrumentation."
FARMIT: continuous assessment of crop quality using machine learning and deep learning techniques for IoT-based smart farming,Traditional greenhouse sensor data,FARMIT multimodal crop-quality assessment architecture,U3,"Performance depends on feature engineering, week/year aggregation choices, model selection, and train/test assumptions."
Optimized multimodal medical image fusion framework using multi-scale geometric and multi-resolution geometric analysis,MedPix multimodal medical image pairs,MCFO-optimized multimodal medical image fusion framework,U1,What counts as the most clinically useful fused image depends on the diagnostic task and on how complementary modality information is conceptualized for each case.
Optimized multimodal medical image fusion framework using multi-scale geometric and multi-resolution geometric analysis,MedPix multimodal medical image pairs,MCFO-optimized multimodal medical image fusion framework,U2,"Modality-specific noise, spatial-resolution differences, and registration mismatch across paired images."
Optimized multimodal medical image fusion framework using multi-scale geometric and multi-resolution geometric analysis,MedPix multimodal medical image pairs,MCFO-optimized multimodal medical image fusion framework,U3,"Fusion quality depends on transform selection, MCFO parameter search, coefficient-fusion rules, and metric-driven optimization assumptions."
